ward,item,location,cost,year,category
25,Street Resurfacing Menu,ON S OAKLEY AVE FROM W 19TH ST  (1900 S) TO W CERMAK RD  (2200 S),185656.32,2022,Street Resurfacing
25,Street Speed Hump Menu,ON S PEORIA ST FROM W MONROE ST  (100 S) TO W ADAMS ST  (200 S),2350,2022,Street Redesign
25,Street Speed Hump Menu,ON S SANGAMON ST FROM W MONROE ST  (100 S) TO W ADAMS ST  (200 S),2350,2022,Street Redesign
25,Street Speed Hump Menu,ON W 16TH ST FROM S MILLER ST  (1030 W) TO S CARPENTER ST  (1100 W),2350,2022,Street Redesign
25,Street Speed Hump Menu,ON W 18TH PL FROM S DAMEN AVE  (2000 W) TO S HOYNE AVE  (2100 W),4700,2022,Street Redesign
25,Street Speed Hump Menu,ON W COULTER ST FROM S LEAVITT ST  (2200 W) TO S OAKLEY AVE  (2300 W),4700,2022,Street Redesign
25,Street Speed Hump Menu,ON W POLK ST FROM S ABERDEEN ST  (1100 W) TO S MAY ST  (1130 W),2350,2022,Street Redesign
25,Street Speed Hump Replacement,ON S LAFLIN ST FROM W 18TH ST  (1800 S) TO W 19TH ST  (1900 S),0,2022,Street Resurfacing
25,Street Speed Hump Replacement,ON S OAKLEY AVE FROM W 19TH ST  (1900 S) TO W CERMAK RD  (2200 S),0,2022,Street Resurfacing
26,Alley Resurfacing Menu,1110 N MOZART ST; N MOZART ST &  W DIVISION ST&W THOMAS ST &  N FRANCISCO AVE,44922.22,2022,Alleys
26,Alley Resurfacing Menu,1218 N HAMLIN AVE; N HAMLIN AVE &  W DIVISION ST&W GRAND AVE &  N AVERS AVE,33513.78,2022,Alleys
26,Alley Resurfacing Menu,1300 N RIDGEWAY AVE; N RIDGEWAY AVE &  W POTOMAC AVE&W HIRSCH ST &  N HAMLIN AVE,50873.91,2022,Alleys
26,Alley Resurfacing Menu,1401 N RIDGEWAY AVE; N RIDGEWAY AVE &  W HIRSCH ST&W LE MOYNE ST &  N LAWNDALE AVE,45956.24,2022,Alleys
