8,Curb/Gutter Menu,Misc.
8,Street Resurface Menu,Misc.
8,Pole Painting,Misc.
8,Traffic Signals,Misc.
8,Miscellaneous-CDOT,Misc.
8,Curb/Gutter Menu - Change Order,Misc.
8,Guardrail Menu,Misc.
8,Bollard Menu,Misc.
8,Miscellaneous-Other,Misc.
8,Schools,Misc.
8,In-Road State Law Stop,Misc.
8,Miscellaneous Other,Misc.
8,Collector Street - Miscellaneous Concrete,Misc.
9,Bollard Menu,Misc.
9,Curb/Gutter Menu,Misc.
9,Street Resurface Menu,Misc.
9,Pole Painting,Misc.
9,Curb/Gutter Menu - Change Order,Misc.
9,Guardrail Menu,Misc.
9,Street Resurface Menu - Change Orde,Misc.
9,Miscellaneous-CDOT,Misc.
9,Traffic Signals,Misc.
9,Schools,Misc.
9,Street Resurface Menu(1-5),Misc.
9,High Definition Camera,Misc.
9,School Projects,Misc.
9,Traffic Signal Miscellaneous Menu,Misc.
9,Traffic Signal LED Upgrade Menu,Misc.
10,Street Resurface Menu,Misc.
10,Guardrail Menu,Misc.
10,Miscellaneous-CDOT,Misc.
10,Pole Painting,Misc.
10,Bollard Menu,Misc.
10,Curb/Gutter Menu,Misc.
10,Miscellaneous-Other,Misc.
10,Schools,Misc.
10,Street Resurface Menu(1-5),Misc.
10,Bus Pad,Misc.
10,In-Road State Law Stop,Misc.
10,High Definition Camera,Misc.
10,Street Speed Hump,Misc.
10,2018 Menu - Ward 10 Trees,Misc.
10,Miscellaneous Other Projects,Misc.
10,1 LPR w/o Camera NW Corner 130th and Torrence,Misc.
11,Curb/Gutter Menu,Misc.
11,Street Resurface Menu,Misc.
11,Bollard Menu,Misc.
11,Miscellaneous-CDOT,Misc.
11,Guardrail Menu,Misc.
11,Miscellaneous-BOE,Misc.
11,Schools,Misc.
11,Street Resurface Menu - Change Orde,Misc.
11,Traffic Signals,Misc.
11,Curb/Gutter Menu - Change Order,Misc.
11,Street Resurface Menu(1-5),Misc.
11,In-Road State Law Stop,Misc.
11,Miscellaneous Other,Misc.
11,High Definition Camera Menu,Misc.
12,Bollard Menu,Misc.
12,Curb/Gutter Menu,Misc.
12,Guardrail Menu,Misc.
12,Miscellaneous-CDOT,Misc.
12,Street Resurface Menu,Misc.
12,Pole Painting,Misc.
12,Street Resurface Menu - Change Orde,Misc.
12,Model Block,Misc.
12,Traffic Signals,Misc.
12,Street Resurface Menu(1-5),Misc.
12,Miscellaneous Other,Misc.
12,POD Relocation,Misc.
