ward,item,location,cost,year,category
42,Curb & Gutter Menu,ON N NEW ST FROM E RIVER DR (410 N) TO E NORTH WATER ST (430 N),16171.14,2024,Street Resurfacing
42,Left-Turn Arrow Menu,N MICHIGAN AVE & E WACKER DR,43292.42,2024,Street Redesign
42,Miscellaneous CDOT Projects,ON E GRAND AVE FROM N LAKE SHORE DR (486 E) TO N STREETER DR (700 E),3000.0,2024,Misc. CDOT
42,Sidewalk Menu,126 E CHESTNUT ST,10715.33,2024,Sidewalk Repair
42,Sidewalk Menu,230 W SUPERIOR ST,44973.22,2024,Sidewalk Repair
42,Sidewalk Menu,530 E GRAND AVE,63099.91,2024,Sidewalk Repair
42,Sidewalk Menu,919 N DEARBORN ST,14627.01,2024,Sidewalk Repair
42,Sidewalk Menu,E DELAWARE PL & N WABASH AVE,15148.92,2024,Sidewalk Repair
42,Street Bump Outs Menu,N STATE ST & W HURON ST,32000.0,2024,Pedestrian Infrastructure
42,Street Resurfacing Menu,N LAKE SHORE DR & N LSD WACKER DR XR; 323 E WACKER DR,47072.71,2024,Street Resurfacing
42,Street Resurfacing Menu,ON E GRAND AVE FROM N LSD GRAND AV ER (500 E) TO N STREETER DR (700 E),90036.33,2024,Street Resurfacing
42,Street Resurfacing Menu,ON E ILLINOIS ST FROM 200 E TO N WABASH LOWER AVE (40 E),52829.25,2024,Street Resurfacing
42,Street Resurfacing Menu,ON N RUSH ST FROM E HUBBARD ST (430 N) TO E ILLINOIS ST (500 N),25626.49,2024,Street Resurfacing
42,Street Resurfacing Menu,ON W ERIE ST FROM N KINGSBURY ST (500 W) TO N LARRABEE ST (600 W),63494.2,2024,Street Resurfacing
42,Street Resurfacing Menu,ON W HURON ST FROM N STATE ST (0 E) TO N DEARBORN ST (50 W),43414.42,2024,Street Resurfacing
42,Street Resurfacing Menu,ON W ILLINOIS ST FROM N CLARK ST (100 W) TO N LA SALLE DR (140 W),38927.16,2024,Street Resurfacing
42,Street Resurfacing Menu,ON W ILLINOIS ST FROM N ORLEANS ST (340 W) TO N KINGSBURY ST (400 W),80739.59,2024,Street Resurfacing
42,Street Resurfacing Menu,ON W ILLINOIS ST FROM N STATE ST (0 E) TO N DEARBORN ST (50 W),56241.11,2024,Street Resurfacing
42,Street Resurfacing Menu,ON W OHIO ST FROM 417 W TO N KINGSBURY ST (500 W),45068.55,2024,Street Resurfacing
42,Street Speed Hump Replacement,ON W ILLINOIS ST FROM N ORLEANS ST (340 W) TO N KINGSBURY ST (400 W),0.0,2024,Street Resurfacing
