23,Collector Street - Miscellaneous Concrete,Misc.
24,Bollard Menu,Misc.
24,Pole Painting,Misc.
24,Miscellaneous-BOE,Misc.
24,Miscellaneous-Other,Misc.
24,Miscellaneous Other,Misc.
24,Bus Pad,Misc.
24,Collector Street - Miscellaneous Concrete,Misc.
25,Streetscape,Misc.
25,Pole Painting,Misc.
25,Bollard Menu,Misc.
25,Traffic Signals,Misc.
25,Miscellaneous-Other,Misc.
25,Miscellaneous Other,Misc.
25,Traffic Equipment,Misc.
25,Speed Indicator Signs,Misc.
26,Miscellaneous - Paseo Boriqua Medalli,Misc.
26,Miscellaneous-BOE,Misc.
26,Pole Painting,Misc.
26,Bollard Menu,Misc.
26,Miscellaneous-Other,Misc.
26,Miscellaneous Other,Misc.
26,Bus Pad,Misc.
27,Bollard Menu,Misc.
27,Pole Painting,Misc.
27,Traffic Equipment,Misc.
27,Miscellaneous Other,Misc.
27,1 PTZ - SE S Maplewood Ave & W Wilcox St,Misc.
27,Speed Indicator Signs,Misc.
28,Pole Painting,Misc.
28,Bollard Menu,Misc.
28,Miscellaneous-Other,Misc.
28,Miscellaneous Other,Misc.
28,Traffic Equipment,Misc.
28,Traffic Signal Pole,Misc.
28,Bus Pad,Misc.
28,Traffic Signal Miscellaneous Menu,Misc.
28,Collector Street - Miscellaneous Concrete,Misc.
29,Bollard Menu,Misc.
29,Pole Painting,Misc.
29,Bus Pad,Misc.
29,Traffic Equipment,Misc.
29,Traffic Signal LED Upgrade Menu,Misc.
29,Ray Charles Easley DCASE Sculpture,Misc.
29,Collector Street - Miscellaneous Concrete,Misc.
29,Speed Indicator Signs,Misc.
30,Bollard Menu,Misc.
30,Pole Painting,Misc.
30,Streetscape,Misc.
30,Model Block,Misc.
30,Miscellaneous Other,Misc.
30,Flashing Beacons,Misc.
30,Traffic Signal LED Upgrade Menu,Misc.
30,POD Relocation: N. Mason Ave & W. George Ave.,Misc.
30,Roadway Conversion with Traffic Signal Removal,Misc.
31,Bollard Menu,Misc.
31,Pole Painting,Misc.
31,Traffic Signals,Misc.
31,Miscellaneous Other,Misc.
31,Bus Pad,Misc.
31,Half $13505.50 with Ward 36),Misc.
32,Bollard Menu,Misc.
32,Model Block,Misc.
32,Streetscape,Misc.
32,Pole Painting,Misc.
32,Traffic Signals,Misc.
32,Acquisition,Misc.
32,Miscellaneous-Other,Misc.
32,Traffic Equipment,Misc.
32,Traffic Signal LED Upgrade Menu,Misc.
33,Model Block,Misc.
33,Pole Painting,Misc.
33,Bollard Menu,Misc.
33,Traffic Signals,Misc.
33,Miscellaneous Other,Misc.
33,Bus Pad,Misc.
33,Edison Regional Gifted Center Outdoor Reading and Learning Center,Misc.
33,Sacramento Play Lot Basketball Court Repaving,Misc.
33,Speed Indicator Signs,Misc.
34,Pole Painting,Misc.
34,Bollard Menu,Misc.
34,Traffic Signals,Misc.
34,Bus Pad,Misc.
34,Miscellaneous Other,Misc.
34,Traffic Signal,Misc.
34,Traffic Equipment,Misc.
35,Bollard Menu,Misc.
35,Pole Painting,Misc.
35,Model Block,Misc.
35,Traffic Signals,Misc.
35,Miscellaneous-Other,Misc.
35,Miscellaneous Other,Misc.
35,Traffic Equipment,Misc.
35,Baseball Backstops & Fencing,Misc.
35,Cook County Highway,Misc.
35,Bus Pad,Misc.
35,Miscellaneous Other Projects,Misc.
36,Traffic Signals,Misc.
36,Bollard Menu,Misc.
36,Miscellaneous-Other,Misc.
36,Pole Painting,Misc.
36,Miscellaneous Other,Misc.
36,Traffic Signal LED Upgrade Menu,Misc.
36,in Half $13505.50 with Ward 31),Misc.
36,Speed Indicator Signs,Misc.
37,Bollard Menu,Misc.
37,Pole Painting,Misc.
37,Miscellaneous-Other,Misc.
37,Traffic Signal,Misc.
37,Traffic Signal LED Upgrade Menu,Misc.
38,Bollard Menu,Misc.
38,Pole Painting,Misc.
38,Traffic Signals,Misc.
38,Miscellaneous Other,Misc.
39,Pole Painting,Misc.
39,Bollard Menu,Misc.
