ward,year,item,location,cost,category
42,2025,Alley Resurfacing Menu,N FRANKLIN ST &  W ONTARIO ST&W OHIO ST &  N WELLS ST,16271.23,Alleys
42,2025,Alley Speed Hump Replacement,N FRANKLIN ST &  W ILLINOIS ST&W HUBBARD ST &  N WELLS ST,0.0,Alleys
42,2025,Miscellaneous CDOT Projects,101 W HUBBARD ST,660.0,Misc. CDOT
42,2025,Miscellaneous CDOT Projects,ON N STETSON AVE FROM E SOUTH WATER ST  (300 N) TO E WACKER DR  (349 N),124519.02,Misc. CDOT
42,2025,Right-turn arrow installation for the northbound to eastbound movement at Streeter-Grand.,N STREETER DR &  E GRAND AVE,33401.16,Street Redesign
42,2025,Speed Indicator Signs,ON N ORLEANS ST FROM W WOLF POINT PLZ  (320 N) TO W ILLINOIS ST  (500 N),300.7,Traffic Signals
42,2025,Street Light Residential Staggered Piggy Back Menu,ON W SUPERIOR ST FROM N FRANKLIN ST  (300 W) TO N SEDGWICK ST  (400 W),71957.87,Lighting
42,2025,Street Resurfacing Menu,ON E SOUTH WATER ST FROM N STETSON AVE  (154 E) TO N COLUMBUS DR  (241 E),40656.87,Street Resurfacing
42,2025,Street Resurfacing Menu,ON N HARBOR DR FROM E RANDOLPH ST  (150 N) TO E WATERSIDE DR  (225 N),81190.18,Street Resurfacing
42,2025,Street Resurfacing Menu,ON N MICHIGAN LOWER AVE FROM E NORTH WATER LOWER ST  (420 N) TO E GRAND AVE (600 N),152398.36,Street Resurfacing
42,2025,Street Resurfacing Menu,ON N PARK DR FROM E NORTH WATER ST  (440 N) TO E ILLINOIS ST  (480 N),58815.46,Street Resurfacing
42,2025,Street Resurfacing Menu,ON N STETSON AVE FROM E RANDOLPH ST  (140 N) TO E WACKER DR  (349 N),200935.14,Street Resurfacing
42,2025,Street Resurfacing Menu,ON W ERIE ST FROM N DEARBORN ST  (50 W) TO N STATE ST  (0 E),39705.28,Street Resurfacing
42,2025,Street Speed Hump Replacement,ON N HARBOR DR FROM E RANDOLPH ST  (150 N) TO E WATERSIDE DR  (225 N),0.0,Street Resurfacing
42,2025,Viaduct Improvement Menu,360 E RANDOLPH ST,28717.68,Viaducts
42,2025,Viaduct Improvement Menu,ON N STETSON AVE FROM E RANDOLPH ST  (140 N) TO E WACKER DR  (349 N),70987.0,Viaducts
42,2025,Viaduct Improvement Menu,W KINZIE ST &  N ORLEANS ST,24271.0,Viaducts
43,2025,Alley Apron Menu,2000 N SEMINARY AVE,22589.89,Alleys
43,2025,Alley Apron Menu,2727 N LEHMANN CT,78654.12,Alleys
43,2025,Alley Resurfacing Menu,N DAYTON ST &  W WISCONSIN ST; N HALSTED ST &  W WILLOW ST,41437.57,Alleys
43,2025,Alley Resurfacing Menu,N HAMPDEN CT &  W WRIGHTWOOD AVE&W DIVERSEY PKWY &  N LEHMANN CT; 2754 N HAMPDEN CT,16671.99,Alleys
43,2025,Alley Resurfacing Menu,W WISCONSIN ST &  N FREMONT ST&N BISSELL ST &  W WILLOW ST,7694.22,Alleys
43,2025,Alley Resurfacing Menu,W WRIGHTWOOD AVE &  N HAMPDEN CT&N LAKEVIEW AVE &  W DEMING PL,10506.17,Alleys
43,2025,Arterial Street Bump Outs Menu,N CLYBOURN AVE &  N KENMORE AVE,12038.3,Pedestrian Infrastructure
43,2025,Arterial Street Bump Outs Menu,N HALSTED ST &  W DICKENS AVE,116549.89,Pedestrian Infrastructure
43,2025,Arterial Street Bump Outs Menu,N SHEFFIELD AVE &  W MONTANA ST,3710.45,Pedestrian Infrastructure
43,2025,Curb & Gutter Menu,1875 N DAYTON ST; N DAYTON ST &  W WISCONSIN ST,185608.68,Street Resurfacing
43,2025,Curb & Gutter Menu,2731 N HAMPDEN CT,89749.11,Street Resurfacing
43,2025,Curb & Gutter Menu,300 W WEBSTER AVE,45453.08,Street Resurfacing
43,2025,"In-Road ""State Law Stop For Pedestrians"" Sign Menu",W DIVERSEY PKWY &  N SEMINARY AVE,600.0,Pedestrian Infrastructure
43,2025,Lincoln Park Arch Project,2560 N LINCOLN AVE,86492.95,Parks
43,2025,Miscellaneous CDOT Projects,2400 N LINCOLN AVE,660.0,Misc. CDOT
