,ward,type,location,year,est_cost,id,point_location,lat,long,query
9393,27,Street Lighting,N HARDING AVE & W ONTARIO ST (620 N)Dead End (300 N),2011,160000.0,21914,N HARDING AVE & W ONTARIO ST (620 N)Dead End (300 N),,,google
10051,42,Miscellaneous-CDOT,Ohio Street Dog Park Fence,2006,11701.0,33529,Ohio Street Dog Park Fence,,,google
10057,50,Chicago Park District,Parks,2005,700000.0,39785,Parks,,,google
10072,13,Miscellaneous-Other,Police Bikes,2007,8785.0,9942,Police Bikes,,,google
10075,2,Miscellaneous-Other,Prairie & 35 th,2008,2259.66666666667,40287,Prairie & 35 th,,,google
10082,2,Miscellaneous-CDOT,Purchase of 32 decorative waste baskets,2010,42618.0,1663,Purchase of 32 decorative waste baskets,,,google
10087,4,Miscellaneous-CDOT,Removal & relocation bus shelters,2008,18000.0,3119,Removal & relocation bus shelters,,,google
10089,32,Miscellaneous-CDOT,Replace faded bikeway marking,2009,30000.0,25939,Replace faded bikeway marking,,,google
10091,48,Miscellaneous-Other,Ridge Firehouse Park,2005,291835.0,38357,Ridge Firehouse Park,,,google
10092,48,Acquisition,Ridge Firehouse Park,2006,38164.0,38382,Ridge Firehouse Park,,,google
10129,10,Street Resurface Menu,S AVENUE BE 108 ST (10800 S) & E 109 ST (10900 S),2011,60797.0,7550,S AVENUE BE 108 ST (10800 S) & E 109th ST (10900 S),,,google
10133,10,Street Resurface Menu,S AVENUE HE 112 ST (11200 S) & E 113 ST (11300 S),2011,70127.0,7549,S AVENUE HE 112 ST (11200 S) & E 113th ST (11300 S),,,google
10134,10,Sidewalk Menu,S AVENUE HE 98 ST (9800 S) & E 99 ST (9900 S),2011,15132.0,7538,S AVENUE HE 98 ST (9800 S) & E 99th ST (9900 S),,,google
10137,10,Street Resurface Menu(1-5),S AVENUE ME 97 ST (9658 S) & E 96 ST (9600 S),2011,51675.0,7555,S AVENUE ME 97 ST (9658 S) & E 96th ST (9600 S),,,google
10142,21,Sidewalk Menu,S BEVERLY AVE & W 95 ST (9500 S)Dead End (9366 S),2011,29698.0,16835,S BEVERLY AVE & W 95th ST (9500 S)Dead End (9366 S),,,google
10314,13,Alley Apron Menu,S KEATING AVE & W 64 ST (6400 S),2011,11371.0,10097,S KEATING AVE & W 64th ST (6400 S),,,google
10577,32,Schools,Savin school art project,2005,5000.0,25707,Savin school,,,google
10580,19,Schools,Sctherland School,2006,60000.0,15351,Sctherland School,,,google
10598,5,Miscellaneous-Other,Shot Spotters,2009,167000.0,3902,Shot Spotters,,,google
10599,1,Miscellaneous-CDOT,Sign Installation project,2005,8885.0,21,Sign Installation project,,,google
10604,49,Miscellaneous-Other,Solar Powered Garbage Containers- 8 locations (201,2011,2628.0,39308,Solar Powered Garbage Containers- 8 locations (201,,,google
10613,42,W. OHIO; FRANKLIN & CHICAGO MONTGOMERY WARD PARK,ST,2018,36014.6666666667,42966,ST,,,google
10615,23,Chicago Park District,Stars & Stripes Playground,2013,154112.0,18623,Stars & Stripes Playground,,,google
10623,48,Schools,Swift and Pierce schools,2007,155000.0,38450,Swift Elementary School,,,google
10630,10,Miscellaneous-Other,TIF Study Expansion - Calumet Marina,2009,20000.0,7475,TIF Study Expansion - Calumet Marina,,,google
10638,44,Miscellaneous Other,Tree installation,2012,784.0,35537,Tree installation,,,google
10639,3,Miscellaneous-Other,Tree Planting - 4239,2011,3300.0,2616,Tree Planting - 4239,,,google
10643,3,Miscellaneous Other,Trees on MLK Drive (2012 installation),2013,963.0,2660,Trees on MLK Drive (2012 installation),,,google
10657,47,Miscellaneous Other,Various arterial Streets (in file) - Tree planting,2012,23765.0,37691,Various arterial Streets (in file) - Tree planting,,,google
10659,12,Street Lighting,VARIOUS LOCATIONS IN WARD,2008,2450.0,9061,VARIOUS LOCATIONS IN WARD,,,google
10661,14,Sidewalk Menu - Change Order,various locations,2011,18476.0,11585,various locations,,,google
10662,39,Tree Planting in Ward,various locations,2018,10000.0,31844,various locations,,,google
10663,13,Model Block,Various Locations,2005,275000.0,9745,Various Locations,,,google
10664,4,Miscellaneous-Other,Viaduct art Panel at 53 rd & 55 th St,2009,10500.0,3162,Viaduct art Panel at 53 rd & 55 th St,,,google
10697,2,Street Lighting,W 16 ST & N MICHIGAN AV,2009,5000.0,1542,W 16th ST & N MICHIGAN AV,,,google
10879,13,Street Resurface Menu,W 66TH STDead End (4623 W) & S KILBOURN AV (4500 W),2011,33579.0,10130,W 66TH STDead End (4623 W) & S KILBOURN AV (4500 W),,,google
