,ward,type,location,year,est_cost,id,start_location,end_location,lat_1,lon_1,query_1,lat_2,lon_2,query_2
17362,19,Street Resurface Menu,S TALMAN AV-- W VAN SCHAIK AV (10400 S) -to- W 105 ST (10500 S),2010,41521.0,15494,S TALMAN AV AND W VAN SCHAIK AV,S TALMAN AV AND W 105th ST,,,google,41.7026711,-87.6881929,google
17580,19,Street Resurface Menu,S TRUMBULL AV-- W 113 ST (11300 S) -to- Dead End (11317 S),2005,16788.0,15288,S TRUMBULL AV AND W 113th ST,S TRUMBULL AV AND Dead End,41.68775968600005,-87.70676907099994,census,,,google
17640,34,Street Speed Hump Menu,S UNION AV-- W 120 ST (12000 S) -to- W 121 ST (12100 N) 2,2007,3300.0,27366,S UNION AV AND W 120th ST,S UNION AV AND W 121st ST,41.6760213,-87.6394458,google,,,google
17739,3,Street Lighting,S VERNON AV-- E 43 ST (4300 S) -to- Dead End (4319 S),2006,42500.0,2408,S VERNON AV AND E 43rd ST,S VERNON AV AND Dead End,41.8166447,-87.6152702,google,,,google
17824,3,Sidewalk Menu,ON S WABASH AVE FROM E 22ND ST TO E 23RD ST,2015,1.0,2734,S WABASH AVE and E 22ND ST,S WABASH AVE and E 23RD ST,,,google,41.851095,-87.6254599,google
17969,19,Street Resurfacing Menu (1-5),ON S WASHTENAW AVE FROM W 101ST ST (10100 S) TO W MONSIGNOR MCELLIGOTT AVE (10200 S),2020,55763.39,15812,S WASHTENAW AVE and W 101ST ST,S WASHTENAW AVE and W MONSIGNOR MCELLIGOTT AVE,41.7099552,-87.6891298,google,,,google
18107,6,Sidewalk Menu,S WILLIAMS AV-- Dead End (9160 S) -to- E 92 ST (9200 S),2010,46357.0,4501,S WILLIAMS AV AND Dead End,S WILLIAMS AV AND E 92nd ST,,,google,41.7272975,-87.6185259,google
18127,18,Sidewalk Menu,S WINCHESTER AV-- Dead End (7552 S) -to- W 76 ST (7600 S),2009,44989.0,14711,S WINCHESTER AV AND Dead End,S WINCHESTER AV AND W 76th ST,,,google,41.7557045,-87.6720759,google
18363,34,Street Resurface Menu,S YALE AV-- W 113 ST (11300 S) -to- Dead End (11325 S),2005,17659.0,27203,S YALE AV AND W 113th ST,S YALE AV AND Dead End,41.6888759,-87.6290121,google,,,google
18364,21,Street Lighting,S YALE AV-- W 94 ST (9343 S) -to- Dead End (9386 S),2007,2000.0,16656,S YALE AV AND W 94th ST,S YALE AV AND Dead End,41.72368139900004,-87.62980028799996,census,,,google
18365,21,Street Resurface Menu,S YALE AV-- W 94 ST (9343 S) -to- Dead End (9386 S),2010,12068.0,16806,S YALE AV AND W 94th ST,S YALE AV AND Dead End,41.72368139900004,-87.62980028799996,census,,,google
18400,12,Street Light Residential,ON SACRAMENTO FROM W 24 ST (2400 S) TO W 26 ST (2600 S),2012,144000.0,9233,SACRAMENTO and W 24th ST,SACRAMENTO and FROM W 24th ST TO W 26th ST,,,google,,,google
18401,14,Sidewalk Menu,ON SACRAMENTO FROM W 51 ST (5100 S) TO W 52 ST (5200 S),2012,2621.0,11642,SACRAMENTO and W 51st ST,SACRAMENTO and FROM W 51st ST TO W 52nd ST,,,google,,,google
18402,14,Sidewalk Menu,ON SACRAMENTO FROM W 54 ST (5400 S) TO W 55 ST (5500 S),2012,1043.0,11669,SACRAMENTO and W 54th ST,SACRAMENTO and FROM W 54th ST TO W 55th ST,41.79542834800003,-87.69872929599995,census,,,google
18403,33,Street Light Residential,ON SACRAMENTO FROM W IRVING PARK RD (4000 N) TO W BERTEAU AV (4200 N),2012,144000.0,26800,SACRAMENTO and W IRVING PARK RD,SACRAMENTO and FROM W IRVING PARK RD TO W BERTEAU AV,41.95395260600003,-87.70312705299995,census,,,google
18414,23,Sidewalk Menu,Sidewalk & C & G change orders various locations,2012,100000.0,18523,Sidewalk & C,Sidewalk & G change orders various locations,,,google,,,google
18438,43,Miscellaneous-CDOT,State & North & Astor,2009,332164.0,34572,State & North,State & Astor,,,google,41.9078216,-87.6275552,google
18442,1,Street Light Upgrade,ON STAVE FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2064 N),2012,700.0,472,STAVE and W ARMITAGE AV,STAVE and W FRANCIS PL,,,google,41.919349416000045,-87.69425114199998,census
18479,19,Sidewalk Menu,W 100 ST-- Dead End (2625 W) -to- Dead End (2551 W),2005,1518.0,15278,W 100th ST AND Dead End,W 100th ST AND Dead End,,,google,,,google
18484,9,Street Lighting,W 100 ST-- Dead End (409 W) -to- S NORMAL AV (500 W),2010,800.0,6552,W 100th ST AND Dead End,W 100th ST AND S NORMAL AV,,,google,41.7115711,-87.6356711,google
18491,21,Sidewalk Menu,W 101 PL-- S ELIZABETH ST (1232 W) -to- Dead End (1246 W),2007,25815.0,16623,W 101st PL AND S ELIZABETH ST,W 101st PL AND Dead End,41.7090312,-87.6537646,google,,,google
18492,21,Pole Painting,W 101 PL-- S ELIZABETH ST (1232 W) -to- Dead End (1246 W),2010,400.0,16822,W 101st PL AND S ELIZABETH ST,W 101st PL AND Dead End,41.7090312,-87.6537646,google,,,google
18500,21,Pole Painting,W 102 PL-- S ELIZABETH ST (1232 W) -to- Dead End (1266 W),2010,400.0,16823,W 102nd PL AND S ELIZABETH ST,W 102nd PL AND Dead End,41.7081276,-87.6537356,google,,,google
18501,19,Curb/Gutter Menu,W 102 PL-- S FRANCISCO AV (2900 W) -to- Dead End (2930 W),2007,37963.0,15359,W 102nd PL AND S FRANCISCO AV,W 102nd PL AND Dead End,41.7071755,-87.6939933,google,,,google
18502,9,Sidewalk Menu,W 102 PL-- S PRINCETON AV (300 W) -to- Dead End (350 W),2007,55880.0,6431,W 102nd PL AND S PRINCETON AV,W 102nd PL AND Dead End,41.7079959,-87.6307359,google,,,google
18503,19,Street Resurface Menu,W 102 PL-- Dead End (1540 W) -to- S CHARLES ST (1700 W),2008,11061.0,15425,W 102nd PL AND Dead End,W 102nd PL AND S CHARLES ST,,,google,41.7072697,-87.6588579,google
18508,19,Curb/Gutter Menu,W 102 ST-- Dead End (2625 W) -to- Dead End (2536 W),2009,2323.0,15439,W 102nd ST AND Dead End,W 102nd ST AND Dead End,,,google,,,google
18555,34,Street Resurface Menu,W 104 ST-- S NORMAL AV (500 W) -to- Dead End (356 W),2009,40152.0,27476,W 104th ST AND S NORMAL AV,W 104th ST AND Dead End,41.7051781,-87.6355188,google,,,google
18556,34,Street Resurface Menu,W 104 ST-- S WENTWORTH AV (200 W) -to- Dead End (356 W),2010,65512.0,27556,W 104th ST AND S WENTWORTH AV,W 104th ST AND Dead End,41.7052793,-87.6282329,google,,,google
18652,34,Street Speed Hump Menu,W 108 ST-- S PRINCETON AV (300 W) -to- Dead End (350 W) 2,2007,3300.0,27373,W 108th ST AND S PRINCETON AV,W 108th ST AND Dead End,41.6979634,-87.6304499,google,,,google
18682,34,Sidewalk Menu,W 110 PL-- S MORGAN ST (1000 W) -to- Dead End (1044 W),2007,88797.0,27339,W 110th PL AND S MORGAN ST,W 110th PL AND Dead End,41.6931986,-87.6472705,google,,,google
18832,19,Curb/Gutter Menu,W 117 ST-- S ARTESIAN AV (2432 W) -to- Dead End (1976 W),2010,23202.0,15478,W 117th ST AND S ARTESIAN AV,W 117th ST AND Dead End,41.6809001,-87.6820365,google,,,google
18902,9,Sidewalk Menu,W 126 PL-- S EGGLESTON AV (429 W) -to- Dead End (471 W),2009,56544.0,6506,W 126th PL AND S EGGLESTON AV,W 126th PL AND Dead End,41.664293,-87.6330145,google,,,google
18904,9,Street Lighting,W 126 ST-- S STEWART AV (400 W) -to- Dead End (477 W),2009,2000.0,6517,W 126th ST AND S STEWART AV,W 126th ST AND Dead End,41.6652085,-87.6318428,google,,,google
18969,3,Street Resurfacing Menu,ON W 14TH ST FROM S MICHIGAN AVE (100 E) TO S INDIANA AVE (200 E),2017,20480.15,2805,W 14TH ST and S MICHIGAN AVE,W 14TH ST and S INDIANA AVE,41.8167082,-87.62302,google,,,google
